Week,Home,Home_Score,Away,Away_Score
1,NE,28,PIT,21
1,CHI,23,GB,31
1,STL,34,SEA,31
1,JAC,9,CAR,20
1,WAS,10,MIA,17
1,BUF,27,IND,14
1,NYJ,31,CLE,10
1,HOU,20,KC,27
1,ARI,31,NO,19
1,SD,33,DET,28
1,DEN,19,BAL,13
1,OAK,13,CIN,33
1,TB,14,TEN,42
1,DAL,27,NYG,26
1,ATL,26,PHI,24
1,SF,20,MIN,3
2,KC,24,DEN,31
2,CAR,24,HOU,17
2,BUF,32,NE,40
2,CIN,24,SD,19
2,CLE,28,TEN,14
2,NYG,20,ATL,24
2,WAS,24,STL,10
2,CHI,23,ARI,48
2,MIN,26,DET,16
2,NO,19,TB,26
2,PIT,43,SF,18
2,OAK,37,BAL,33
2,JAC,23,MIA,20
2,PHI,10,DAL,20
2,GB,27,SEA,17
2,IND,7,NYJ,20
3,NYG,32,WAS,21
3,DAL,28,ATL,39
3,CAR,27,NO,22
3,NYJ,17,PHI,24
3,HOU,19,TB,9
3,MIN,31,SD,14
3,STL,6,PIT,12
3,NE,51,JAC,17
3,BAL,24,CIN,28
3,CLE,20,OAK,27
3,TEN,33,IND,35
3,ARI,47,SF,7
3,SEA,26,CHI,0
3,MIA,14,BUF,41
3,DET,12,DEN,24
3,GB,38,KC,28
4,PIT,20,BAL,23
4,MIA,14,NYJ,27
4,CHI,22,OAK,20
4,ATL,48,HOU,21
4,CIN,36,KC,21
4,IND,16,JAC,13
4,WAS,23,PHI,20
4,TB,23,CAR,37
4,BUF,10,NYG,24
4,SD,30,CLE,27
4,SF,3,GB,17
4,ARI,22,STL,24
4,DEN,23,MIN,20
4,NO,26,DAL,20
4,SEA,13,DET,10
5,HOU,20,IND,27
5,PHI,39,NO,17
5,KC,17,CHI,18
5,CIN,27,SEA,24
5,ATL,25,WAS,19
5,TB,38,JAC,31
5,BAL,30,CLE,33
5,TEN,13,BUF,14
5,GB,24,STL,10
5,DET,17,ARI,42
5,DAL,6,NE,30
5,OAK,10,DEN,16
5,NYG,30,SF,27
5,SD,20,PIT,24
6,NO,31,ATL,21
6,DET,37,CHI,34
6,NYJ,34,WAS,20
6,PIT,25,ARI,13
6,MIN,16,KC,10
6,BUF,21,CIN,34
6,CLE,23,DEN,26
6,TEN,10,MIA,38
6,JAC,20,HOU,31
6,SEA,23,CAR,27
6,GB,27,SD,20
6,SF,25,BAL,20
6,IND,27,NE,34
